*Frequency 	VF2-abs (dB)	VF2-phase (deg)
1	-24.1248588330459	84.7624916575282
1.01391138573668	-24.0058682430164	84.6900416356162
1.02801629812647	-23.8869056884138	84.6166010038131
1.0423174293933	-23.7679719409184	84.5421567035978
1.05681750921366	-23.6490677930585	84.4666955247419
1.07151930523761	-23.5301940587508	84.3902041044233
1.08642562361707	-23.4113515738561	84.3126689263788
1.10153930954142	-23.292541196744	84.2340763200915
1.11686324778056	-23.1737638088747	84.1544124600238
1.13240036323556	-23.0550203153923	84.0736633648912
1.14815362149688	-22.9363116457324	83.9918148969844
1.16412602941049	-22.8176387542426	83.9088527615399
1.18032063565173	-22.6990026208194	83.824762506163
1.19674053130724	-22.5804042515568	83.7395295203066
1.21338885046498	-22.4618446794123	83.6531390348078
1.23026877081238	-22.3433249648841	83.5655761214853
1.24738351424294	-22.2248461967084	83.4768256928042
1.26473634747115	-22.1064094925665	83.3868725016065
1.28233058265602	-21.9880159998113	83.2957011409151
1.30016957803329	-21.869666896208	83.2032960438137
1.31825673855641	-21.7513633906903	83.1096414834057
1.33659551654644	-21.633106724134	83.0147215728577
1.35518941235104	-21.5148981701445	82.9185202655296
1.37404197501252	-21.3967390358627	82.821021355198
1.3931568029453	-21.2786306627877	82.7222084763768
1.41253754462275	-21.1605744276147	82.6220651047381
1.43218789927354	-21.0425717430889	82.5205745576383
1.45211161758774	-20.9246240588809	82.417719994759
1.47231250243272	-20.8067328624727	82.3134844188594
1.492794409579	-20.6888996800674	82.2078506766548
1.51356124843621	-20.5711260775102	82.1008014598175
1.53461698279929	-20.4534136612308	81.9923193061142
1.55596563160507	-20.3357640792026	81.8823866006805
1.57761126969935	-20.2181790219166	81.7709855774386
1.59955802861467	-20.1006602233757	81.6580983206675
1.62181009735893	-19.9832094621054	81.5437067667293
1.64437172321493	-19.8658285621812	81.4277927059589
1.66724721255106	-19.7485193942735	81.3103377847245
1.69044093164326	-19.6312838767106	81.1913235076652
1.71395730750843	-19.5141239765569	81.0707312401124
1.73780082874938	-19.39704171071	80.948542210704
1.76197604641163	-19.2800391470122	80.8247375141959
1.78648757485205	-19.1631184053816	80.6992981144837
1.8113400926196	-19.0462816589557	80.5722048478354
1.83653834334835	-18.9295311352529	80.4434384263486
1.86208713666287	-18.8128691173503	80.3129794416409
1.88799134909629	-18.6962979450747	80.1808083687763
1.91425592502109	-18.579820016209	80.0469055704419
1.94088587759278	-18.4634377877135	79.9112513013825
